,term,frq_pre,frq_post,diff
98,armee,0.0004200692274086769,0.00013076425166887875,-0.0002893049757397982
154,erfüllt,0.0003192526128305945,3.269106291721969e-05,-0.00028656154991337483
140,väter,0.00033605538192694155,5.230570066755151e-05,-0.00028374968125939007
184,beizustehen,0.00028564707463790034,6.538212583443938e-06,-0.0002791088620544564
29,unabhängigkeit,0.0007225190711429244,0.00044459845567418777,-0.0002779206154687366
74,generation,0.0004536747656013711,0.00017653173975298633,-0.0002771430258483847
92,not,0.0004200692274086769,0.00014384067683576664,-0.0002762285505729103
46,entwicklung,0.0005880969183721477,0.00031383420400530904,-0.0002742627143668387
63,einzelnen,0.0005040830728904124,0.0002419138655874257,-0.00026216920730298666
124,lösen,0.00035285815102328866,9.153497616821513e-05,-0.0002613231748550735
12,demokratie,0.0011089827603589072,0.0008499676358477119,-0.0002590151245111953
69,bereit,0.00048728030379406525,0.00022883744042053784,-0.0002584428633735274
71,bundesbrief,0.00048728030379406525,0.00022883744042053784,-0.0002584428633735274
107,schicksal,0.0003864636892159828,0.00013076425166887875,-0.0002556994375471041
57,heutigen,0.0005208858419867594,0.00026806671592120146,-0.00025281912606555794
199,völkern,0.00026884430554155323,1.9614637750331815e-05,-0.0002492296677912214
112,gedanken,0.00035285815102328866,0.00010461140133510301,-0.00024824674968818564
126,gegenwart,0.00035285815102328866,0.00010461140133510301,-0.00024824674968818564
134,gegenseitig,0.00033605538192694155,9.153497616821513e-05,-0.00024452040575872645
138,staates,0.00033605538192694155,9.807318875165907e-05,-0.0002379821931752825
162,staatlichen,0.0003024498437342474,6.538212583443938e-05,-0.000237067717899808
167,gedenken,0.0003024498437342474,7.192033841788332e-05,-0.00023052950531636407
198,gottes,0.00026884430554155323,3.922927550066363e-05,-0.0002296150300408896
212,schwere,0.0002520415364452062,2.6152850333775754e-05,-0.0002258886861114304
109,jugend,0.0003696609201196357,0.00014384067683576664,-0.00022582024328386907
77,hilfe,0.0004536747656013711,0.00022883744042053784,-0.00022483732518083324
165,demokratischen,0.0003024498437342474,7.845855100132726e-05,-0.00022399129273292014
93,helfen,0.0004200692274086769,0.00019614637750331814,-0.00022392284990535878
87,vorfahren,0.0004200692274086769,0.00019614637750331814,-0.00022392284990535878
172,gründung,0.00028564707463790034,6.538212583443938e-05,-0.00022026494880346095
108,weder,0.0003696609201196357,0.00015037888941921057,-0.00021928203070042514
110,ordnung,0.0003696609201196357,0.00015037888941921057,-0.00021928203070042514
122,bundesfeier,0.00035285815102328866,0.0001373024642523227,-0.00021555568677096595
182,einzelne,0.00028564707463790034,7.192033841788332e-05,-0.00021372673622001702
262,gesinnung,0.00021843599825251202,6.538212583443938e-06,-0.0002118977856690681
139,gewalt,0.00033605538192694155,0.00012422603908543483,-0.00021182934284150672
181,lebens,0.00028564707463790034,7.845855100132726e-05,-0.0002071885236365731
244,lugano,0.00021843599825251202,1.3076425166887877e-05,-0.00020535957308562413
249,innere,0.00021843599825251202,1.3076425166887877e-05,-0.00020535957308562413
251,miteidgenossen,0.00021843599825251202,1.3076425166887877e-05,-0.00020535957308562413
132,weise,0.00033605538192694155,0.00013076425166887875,-0.0002052911302580628
202,friedens,0.00026884430554155323,6.538212583443938e-05,-0.00020346217970711384
191,ereignisse,0.00026884430554155323,6.538212583443938e-05,-0.00020346217970711384
28,lassen,0.0007393218402392714,0.0005361334318424029,-0.0002031884083968685
260,einrichtungen,0.00021843599825251202,1.9614637750331815e-05,-0.0001988213605021802
133,dankbarkeit,0.00033605538192694155,0.0001373024642523227,-0.00019875291767461884
115,jahrhunderte,0.00035285815102328866,0.00015691710200265452,-0.00019594104902063414
31,heimat,0.0007057163020465773,0.0005099805815086272,-0.0001957357205379501
303,ehrfurcht,0.00020163322915616494,6.538212583443938e-06,-0.000195095016572721
147,wirtschaftliche,0.0003192526128305945,0.00012422603908543483,-0.00019502657374515967
149,verlangt,0.0003192526128305945,0.00012422603908543483,-0.00019502657374515967
141,achtung,0.0003192526128305945,0.00012422603908543483,-0.00019502657374515967
43,arbeit,0.0006048996874684948,0.0004119073927569681,-0.00019299229471152668
252,zweifel,0.00021843599825251202,2.6152850333775754e-05,-0.00019228314791873625
101,freude,0.0003864636892159828,0.00019614637750331814,-0.00019031731171266467
99,wille,0.0003864636892159828,0.00019614637750331814,-0.00019031731171266467
275,gebiet,0.00020163322915616494,1.3076425166887877e-05,-0.00018855680398927705
276,lebendig,0.00020163322915616494,1.3076425166887877e-05,-0.00018855680398927705
272,möge,0.00020163322915616494,1.3076425166887877e-05,-0.00018855680398927705
150,fremden,0.0003192526128305945,0.00013076425166887875,-0.00018848836116171574
64,halten,0.00048728030379406525,0.00030075777883842113,-0.00018652252495564411
157,zuversicht,0.0003024498437342474,0.00011768782650199088,-0.00018476201723225652
236,verständnis,0.0002352387673488591,5.230570066755151e-05,-0.0001829330666813076
217,anstrengungen,0.0002352387673488591,5.230570066755151e-05,-0.0001829330666813076
241,gewiss,0.0002352387673488591,5.230570066755151e-05,-0.0001829330666813076
119,herzen,0.00035285815102328866,0.00016999352716954238,-0.00018286462385374628
294,gelegentlich,0.00020163322915616494,1.9614637750331815e-05,-0.00018201859140583312
146,jahrhunderten,0.0003192526128305945,0.0001373024642523227,-0.0001819501485782718
222,masse,0.0002352387673488591,5.884391325099544e-05,-0.00017639485409786366
